Hour,SoC_Wh,SoC_Pct,Action,Status
0,48.0,96.0,COMPUTE,
1,46.0,92.0,COMPUTE,
2,44.0,88.0,COMPUTE,
3,42.0,84.0,COMPUTE,
4,40.0,80.0,COMPUTE,
5,38.0,76.0,COMPUTE,
6,36.0,72.0,COMPUTE,
7,37.36,74.7,COMPUTE,
8,43.61,87.2,COMPUTE,
9,50.0,100.0,COMPUTE,
10,50.0,100.0,COMPUTE,
11,50.0,100.0,COMPUTE,
12,50.0,100.0,COMPUTE,
13,50.0,100.0,COMPUTE,
14,50.0,100.0,COMPUTE,
15,50.0,100.0,COMPUTE,
16,50.0,100.0,COMPUTE,
17,50.0,100.0,COMPUTE,
18,48.0,96.0,COMPUTE,
19,46.0,92.0,COMPUTE,
20,44.0,88.0,COMPUTE,
21,42.0,84.0,COMPUTE,
22,40.0,80.0,COMPUTE,
23,38.0,76.0,COMPUTE,
24,36.0,72.0,COMPUTE,
25,34.0,68.0,COMPUTE,
26,32.0,64.0,COMPUTE,
27,30.0,60.0,COMPUTE,
28,28.0,56.0,COMPUTE,
29,26.0,52.0,COMPUTE,
30,24.0,48.0,COMPUTE,
31,22.2,44.4,COMPUTE,
32,20.61,41.2,COMPUTE,
33,19.32,38.6,COMPUTE,
34,18.16,36.3,COMPUTE,
35,17.17,34.3,COMPUTE,
36,16.13,32.3,COMPUTE,
37,15.42,30.8,COMPUTE,
38,14.39,28.8,COMPUTE,
39,13.22,26.4,COMPUTE,
40,11.61,23.2,COMPUTE,
41,9.79,19.6,COMPUTE,
42,7.79,15.6,COMPUTE,
43,5.79,11.6,COMPUTE,
44,3.79,7.6,COMPUTE,
45,0.0,,,DEAD
46,0.0,,,DEAD
47,0.0,,,DEAD
48,0.0,,,DEAD
49,0.0,,,DEAD
50,0.0,,,DEAD
51,0.0,,,DEAD
52,0.0,,,DEAD
53,0.0,,,DEAD
54,0.0,,,DEAD
55,0.0,,,DEAD
56,0.0,,,DEAD
57,0.0,,,DEAD
58,0.0,,,DEAD
59,0.0,,,DEAD
60,0.0,,,DEAD
61,0.0,,,DEAD
62,0.0,,,DEAD
63,0.0,,,DEAD
64,0.0,,,DEAD
65,0.0,,,DEAD
66,0.0,,,DEAD
67,0.0,,,DEAD
68,0.0,,,DEAD
69,0.0,,,DEAD
70,0.0,,,DEAD
71,0.0,,,DEAD
72,0.0,,,DEAD
73,0.0,,,DEAD
74,0.0,,,DEAD
75,0.0,,,DEAD
76,0.0,,,DEAD
77,0.0,,,DEAD
78,0.0,,,DEAD
79,0.0,,,DEAD
80,0.0,,,DEAD
81,0.0,,,DEAD
82,0.0,,,DEAD
83,0.0,,,DEAD
84,0.0,,,DEAD
85,0.0,,,DEAD
86,0.0,,,DEAD
87,0.0,,,DEAD
88,0.0,,,DEAD
89,0.0,,,DEAD
90,0.0,,,DEAD
91,0.0,,,DEAD
92,0.0,,,DEAD
93,0.0,,,DEAD
94,0.0,,,DEAD
95,0.0,,,DEAD
96,0.0,,,DEAD
97,0.0,,,DEAD
98,0.0,,,DEAD
99,0.0,,,DEAD
100,0.0,,,DEAD
101,0.0,,,DEAD
102,0.0,,,DEAD
103,0.0,,,DEAD
104,0.0,,,DEAD
105,0.0,,,DEAD
106,0.0,,,DEAD
107,0.0,,,DEAD
108,0.0,,,DEAD
109,0.0,,,DEAD
110,0.0,,,DEAD
111,0.0,,,DEAD
112,0.0,,,DEAD
113,0.0,,,DEAD
114,0.0,,,DEAD
115,0.0,,,DEAD
116,0.0,,,DEAD
117,0.0,,,DEAD
118,0.0,,,DEAD
119,0.0,,,DEAD
120,0.0,,,DEAD
121,0.0,,,DEAD
122,0.0,,,DEAD
123,0.0,,,DEAD
124,0.0,,,DEAD
125,0.0,,,DEAD
126,0.0,,,DEAD
127,0.0,,,DEAD
128,0.0,,,DEAD
129,0.0,,,DEAD
130,0.0,,,DEAD
131,0.0,,,DEAD
132,0.0,,,DEAD
133,0.0,,,DEAD
134,0.0,,,DEAD
135,0.0,,,DEAD
136,0.0,,,DEAD
137,0.0,,,DEAD
138,0.0,,,DEAD
139,0.0,,,DEAD
140,0.0,,,DEAD
141,0.0,,,DEAD
142,0.0,,,DEAD
143,0.0,,,DEAD
144,0.0,,,DEAD
145,0.0,,,DEAD
146,0.0,,,DEAD
147,0.0,,,DEAD
148,0.0,,,DEAD
149,0.0,,,DEAD
150,0.0,,,DEAD
151,0.0,,,DEAD
152,0.0,,,DEAD
153,0.0,,,DEAD
154,0.0,,,DEAD
155,0.0,,,DEAD
156,0.0,,,DEAD
157,0.0,,,DEAD
158,0.0,,,DEAD
159,0.0,,,DEAD
160,0.0,,,DEAD
161,0.0,,,DEAD
162,0.0,,,DEAD
163,0.0,,,DEAD
164,0.0,,,DEAD
165,0.0,,,DEAD
166,0.0,,,DEAD
167,0.0,,,DEAD
